ID,ConditionFull,ChartNumber,TitleType,ChartType,Condition,ImageFileName,Title,TheContext,Question1Text,Q1OptionA,Q1OptionB,Q1OptionC,Q1OptionD,Q1CorrectAnswer,Question2Text,Q2OptionA,Q2OptionB,Q2OptionC,Q2OptionD,Q2CorrectAnswer,Question3Text,Q3OptionA,Q3OptionB,Q3OptionC,Q3OptionD,Q3CorrectAnswer,Order,V1,V2,V3,V4
25,Chart 7DC,Chart 7,descriptive,complex,DC,images/imageChart7MC.PNG,במחוז הדרום אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הגבוה ביותר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז הפער בין אחוז התושבים היהודים והערבים שאינם מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,7,,,1,
26,Chart 7DS,Chart 7,descriptive,simple,DS,images/imageChart7MS.PNG,אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הנמוך ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,7,,,,1
27,Chart 7MC,Chart 7,message,complex,MC,images/imageChart7DS.PNG,במחוז הצפון הפער בין אחוז התושבים היהודים והערבים שלא מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז הפער בין אחוז התושבים היהודים והערבים שאינם מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,7,1,,,
28,Chart 7MS,Chart 7,message,simple,MS,images/imageChart7DC.PNG,במחוז הדרום אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הגבוה ביותר,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הנמוך ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,7,,1,,
29,Chart 8DC,Chart 8,descriptive,complex,DC,images/imageChart8MC.PNG,היקף השימוש ברשתות חברתיות בקרב גילאי 18-22 וגילאי 60 ומעלה,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית קיים הפער הכי גדול בהיקף השימוש בין בני 60 ומעלה ובין קבוצת הגיל 18-22?,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,8,,1,,
30,Chart 8DS,Chart 8,descriptive,simple,DS,images/imageChart8MS.PNG,היקף השימוש ברשתות חברתיות באוכלוסייה מעל גיל  60 בשנת 2024,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית היקף השימוש הוא הנמוך ביותר עבור בני 60+? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,8,,,1,
31,Chart 8MC,Chart 8,message,complex,MC,images/imageChart8DS.PNG,הפער הגדול ביותר בהיקף השימוש ברשתות חברתיות בין כלל הבוגרים לבני 18-22 הוא בטיקטוק,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית קיים הפער הכי גדול בהיקף השימוש בין בני 60 ומעלה ובין קבוצת הגיל 18-22?,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,8,,,,1
32,Chart 8MS,Chart 8,message,simple,MS,images/imageChart8DC.PNG,היקף השימוש בטיקטוק הוא הנמוך ביותר בקרב גילאי 60 ומעלה בשנת 2024,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית היקף השימוש הוא הנמוך ביותר עבור בני 60+? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,8,1,,,
33,Chart 9DC,Chart 9,descriptive,complex,DC,images/imageChart9MC.PNG,הוצאות המגזר הממשלתי לפי סוג מטרה בשנים 2006 ו-2022 ,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,איזו הוצאה של המגזר הממשלתי עלתה הכי הרבה בין שנת 2006 לשנת 2022?  ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,איזה מטרת הוצאה היא הנמוכה ביותר בשנת 2022? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,9,1,,,
34,Chart 9DS,Chart 9,descriptive,simple,DS,images/imageChart9MS.PNG,הוצאות המגזר הממשלתי לפי סוג מטרה בשנת 2022 ,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,איזו הוצאה של המגזר הממשלתי היא הגבוהה ביותר בשנת 2022? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,איזה מטרת הוצאה היא הנמוכה ביותר בשנת 2022?   ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,9,,1,,
35,Chart 9MC,Chart 9,message,complex,MC,images/imageChart9DS.PNG,ביטוח סוציאלי וסעד היא ההוצאה שעלתה הכי הרבה בין שנת 2006 לשנת 2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,איזו הוצאה של המגזר הממשלתי עלתה הכי הרבה בין שנת 2006 לשנת 2022?  ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,איזה מטרת הוצאה היא הנמוכה ביותר בשנת 2022? ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,9,,,1,
36,Chart 9MS,Chart 9,message,simple,MS,images/imageChart9DC.PNG,ביטוח סוציאלי וסעד היא ההוצאה הגבוהה ביותר במגזר הממשלתי בשנת 2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,איזו הוצאה של המגזר הממשלתי היא הגבוהה ביותר בשנת 2022? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,איזה מטרת הוצאה היא הנמוכה ביותר בשנת 2022?   ,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,9,,,,1
37,Chart 10DC,Chart 10,descriptive,complex,DC,images/imageChart10MC.PNG,שביעות הרצון של התושבים מרמת הניקיון באזור המגורים בשנים 2018 ו-2021,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2021,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,10,,,,1
38,Chart 10DS,Chart 10,descriptive,simple,DS,images/imageChart10MS.PNG,שביעות הרצון של התושבים מרמת הניקיון באזור המגורים בשנת 2021,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הנמוכה ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,10,1,,,
39,Chart 10MC,Chart 10,message,complex,MC,images/imageChart10DS.PNG,שביעות הרצון מרמת הניקיון באזור המגורים בבני ברק הכי נמוכה גם בשנת 2018 וגם בשנת 2021 ,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2021,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,10,,1,,
40,Chart 10MS,Chart 10,message,simple,MS,images/imageChart10DC.PNG,שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 הכי נמוכה בבני ברק,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הנמוכה ביותר? ,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,10,,,1,
41,Chart 11DC,Chart 11,descriptive,complex,DC,images/imageChart11MC.PNG,ממוצע שעות ביום מול המסך לפי מטרת הצפייה בשנת 2020 ובשנת 2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2024,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,11,,,1,
42,Chart 11DS,Chart 11,descriptive,simple,DS,images/imageChart11MS.PNG,שעות מול המסך בממוצע ליום לפי מטרת הצפייה בשנת 2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2022,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,11,,,,1
43,Chart 11MC,Chart 11,message,complex,MC,images/imageChart11DS.PNG,ממוצע שעות צפייה במסך ביום למטרת עבודה ירד בין השנים 2020 ו-2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2025,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,11,1,,,
44,Chart 11MS,Chart 11,message,simple,MS,images/imageChart11DC.PNG,ממוצע שעות צפייה במסך ביום הגבוה ביותר הוא למטרת עבודה בשנת 2022,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2023,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,11,,1,,
45,Chart 12DC,Chart 12,descriptive,complex,DC,images/imageChart12MC.PNG,מאפיינים חשובים בעבודתם של שכירים בגילים 25-64 בשנת 2018 ובשנת 2023,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2028,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,12,,1,,
46,Chart 12DS,Chart 12,descriptive,simple,DS,images/imageChart12MS.PNG,מאפיינים חשובים בעבודתם של שכירים בגילים 25-64 בשנת 2023,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2026,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,12,,,1,
47,Chart 12MC,Chart 12,message,complex,MC,images/imageChart12DS.PNG,סביבת עבודת נעימה הוא המאפיין עם השינוי הקטן ביותר בין שנת 2018 לשנת 2023 עבור שכירים בגילים 25-64,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2029,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היו צבעי הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,12,,,,1
48,Chart 12MS,Chart 12,message,simple,MS,images/imageChart12DC.PNG,סביבת עבודה נעימה הוא המאפיין הכי פחות חשוב בעבודתם של שכירים בגילים 25-64 בשנת 2023 ,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים היא הנמוכה ביותר גם בשנת 2018 וגם בשנת 2027,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה עיר שביעות הרצון מרמת הניקיון באזור המגורים בשנת 2021 היא הגבוהה ביותר ?,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבע הגרף?,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,12,1,,,
